date,subscribers,change,reach,ERR,advertising_reach,mentions
20 Март 2023,42129,-49,,,,
19 Март 2023,42178,42,12065,28.6,,
18 Март 2023,42136,51,12036,28.6,,
17 Март 2023,42085,59,12103,28.8,,
16 Март 2023,42026,51,12160,28.9,,
15 Март 2023,41975,46,12187,29,,
14 Март 2023,41929,113,12205,29.1,,
13 Март 2023,41816,132,12221,29.2,,
12 Март 2023,41684,125,12199,29.3,,
11 Март 2023,41559,117,12164,29.3,,
10 Март 2023,41442,127,12135,29.3,,
09 Март 2023,41315,120,12148,29.4,10846,
08 Март 2023,41195,148,12166,29.5,,
07 Март 2023,41047,78,12152,29.6,,
06 Март 2023,40969,-16,12168,29.7,,
05 Март 2023,40985,17,12176,29.7,,
04 Март 2023,40968,56,12167,29.7,,
03 Март 2023,40912,71,12303,30.1,,
02 Март 2023,40841,56,12302,30.1,10708,
01 Март 2023,40785,55,12346,30.3,,
28 Февраль 2023,40730,53,12348,30.3,,
27 Февраль 2023,40677,45,12407,30.5,,
26 Февраль 2023,40632,7,12361,30.4,,
25 Февраль 2023,40625,45,12334,30.4,,
24 Февраль 2023,40580,76,12329,30.4,,
23 Февраль 2023,40504,75,12292,30.3,10776,
22 Февраль 2023,40429,79,12323,30.5,,
21 Февраль 2023,40350,43,12382,30.7,,
20 Февраль 2023,40307,46,12375,30.7,,
19 Февраль 2023,40261,61,12366,30.7,,
18 Февраль 2023,40200,33,12260,30.5,,
17 Февраль 2023,40167,42,12243,30.5,,| Скворечник Воробьева: Топ Подмосковья - @TopMosReg 417 упомянул запись17 Февраль 2023 в 18:10ссылка: https://tgstat.ru/channel/@TopMosReg/886 || Скворечник Воробьева: Топ Подмосковья - @TopMosReg 417 упомянул запись17 Февраль 2023 в 18:10ссылка: https://tgstat.ru/channel/@TopMosReg/885 |
16 Февраль 2023,40125,40,12152,30.3,10685,
15 Февраль 2023,40085,63,12153,30.3,,
14 Февраль 2023,40022,57,12167,30.4,,
13 Февраль 2023,39965,26,12175,30.5,,
12 Февраль 2023,39939,91,12114,30.3,,| ShakhmatovGreen🌲 - @sergeyshakhmatov 2223 упомянул запись12 Февраль 2023 в 17:30ссылка: https://tgstat.ru/channel/@sergeyshakhmatov/2562 |
11 Февраль 2023,39848,100,12046,30.2,,| Архивный КАТАЛОГ каналов - @ArchiveChannelKatalog 63 упомянул канал11 Февраль 2023 в 08:10ссылка: https://tgstat.ru/channel/@ArchiveChannelKatalog/231 || Каталог каналов | Каталог | Реклама - @Katalog_reklama_katalog 471 упомянул канал11 Февраль 2023 в 08:10ссылка: https://tgstat.ru/channel/@Katalog_reklama_katalog/1428 |
10 Февраль 2023,39748,57,12045,30.3,,
09 Февраль 2023,39691,57,11976,30.2,10899,
08 Февраль 2023,39634,87,11905,30,,
07 Февраль 2023,39547,172,11919,30.1,,
06 Февраль 2023,39375,57,11895,30.2,,
05 Февраль 2023,39318,87,11832,30.1,,
04 Февраль 2023,39231,14,11795,30.1,,
03 Февраль 2023,39217,57,11810,30.1,,
02 Февраль 2023,39160,337,11802,30.1,10743,
01 Февраль 2023,38823,309,11731,30.2,,
31 Январь 2023,38514,200,11735,30.5,,| r/ретранслятор - @retra 142221 упомянул канал31 Январь 2023 в 13:00ссылка: https://tgstat.ru/channel/@retra/18581 |
30 Январь 2023,38314,36,11688,30.5,,
29 Январь 2023,38278,66,11555,30.2,,
28 Январь 2023,38212,51,11436,29.9,,
27 Январь 2023,38161,30,11353,29.8,,
26 Январь 2023,38131,-15,11199,29.4,10918,
25 Январь 2023,38146,30,10982,28.8,,| Неизвестная Россия - @nezrus 15968 упомянул канал25 Январь 2023 в 20:00ссылка: https://tgstat.ru/channel/@nezrus/4814 |
24 Январь 2023,38116,115,10915,28.6,,
